Student_ID,Fee_Amount,Paid_Status
156,246,Paid
157,108,Paid
158,825,Late
159,455,Paid
160,359,Paid
161,600,Late
162,529,Late
163,985,Late
164,456,Late
165,410,Late
166,917,Late
167,577,Paid
168,389,Paid
169,106,Late
170,381,Late
171,396,Paid
172,927,Paid
173,592,Paid
174,359,Late
175,585,Paid
176,793,Late
177,877,Paid
178,480,Paid
179,247,Paid
180,455,Paid
181,599,Late
182,934,Paid
183,134,Late
184,936,Paid
185,866,Late
186,423,Late
187,626,Paid
188,901,Late
189,864,Paid
190,765,Paid
191,867,Late
192,597,Late
193,456,Late
194,938,Paid
195,688,Late
196,196,Late
197,468,Paid
198,864,Late
199,923,Paid
200,789,Paid
201,925,Late
202,755,Late
203,645,Late
204,310,Paid
205,861,Paid
206,376,Paid
207,103,Paid
208,830,Late
209,744,Late
210,752,Late
211,669,Paid
212,921,Late
213,604,Paid
214,122,Late
215,934,Late
216,473,Late
217,129,Paid
218,884,Late
219,220,Late
220,773,Paid
221,196,Late
222,944,Late
223,595,Late
224,337,Paid
225,170,Late
226,628,Late
227,415,Paid
228,850,Late
229,942,Paid
230,794,Paid
231,947,Late
232,622,Late
233,680,Paid
234,208,Paid
235,687,Paid
236,206,Late
237,287,Paid
238,719,Late
239,126,Paid
240,695,Late
241,751,Late
242,686,Late
243,776,Paid
244,749,Paid
245,150,Late
246,553,Paid
247,170,Paid
248,747,Paid
249,626,Paid
250,134,Paid
251,473,Paid
252,664,Late
253,856,Paid
254,884,Late
255,794,Paid
256,291,Late
257,242,Paid
258,895,Paid
259,648,Late
260,874,Late
261,488,Paid
262,197,Paid
263,283,Late
264,859,Paid
265,244,Paid
266,566,Paid
267,584,Paid
268,560,Late
269,393,Late
270,592,Late
271,187,Late
272,383,Late
273,292,Late
274,545,Late
275,813,Late
276,647,Late
277,629,Paid
278,565,Paid
279,126,Late
280,460,Late
281,737,Paid
282,261,Paid
283,878,Paid
284,936,Late
285,829,Paid
286,521,Paid
287,765,Late
288,957,Late
289,831,Late
290,186,Late
291,309,Paid
292,610,Paid
293,628,Late
294,505,Paid
295,860,Paid
296,315,Late
297,364,Paid
298,511,Paid
299,788,Late
300,577,Late
301,773,Paid
302,546,Late
303,455,Late
304,624,Paid
305,702,Late
306,453,Late
307,460,Paid
308,280,Paid
309,908,Paid
310,678,Paid
311,979,Paid
312,416,Late
313,364,Paid
314,617,Late
315,697,Late
316,671,Paid
317,661,Paid
318,753,Paid
319,624,Late
320,845,Paid
321,576,Late
322,239,Paid
323,596,Paid
324,262,Paid
325,508,Late
326,987,Paid
327,502,Late
328,686,Paid
329,303,Paid
330,885,Late
331,525,Late
332,575,Late
333,960,Paid
334,965,Paid
335,775,Late
336,984,Late
337,944,Paid
338,341,Paid
339,441,Late
340,804,Late
341,437,Late
342,487,Late
343,852,Paid
344,811,Late
345,423,Paid
346,204,Paid
347,922,Paid
348,955,Late
349,207,Late
350,330,Late
351,452,Paid
352,588,Late
353,705,Paid
354,959,Late
355,705,Late
356,457,Paid
357,341,Late
358,645,Paid
359,627,Paid
360,820,Paid
361,110,Late
362,596,Late
363,515,Paid
364,780,Late
365,499,Paid
366,564,Paid
367,180,Paid
368,953,Paid
369,349,Late
370,548,Paid
371,484,Paid
372,552,Paid
373,897,Late
374,462,Late
375,446,Paid
376,150,Paid
377,631,Late
378,318,Late
379,374,Paid
380,530,Paid
381,465,Paid
382,315,Paid
383,160,Late
384,620,Paid
385,588,Late
386,448,Late
387,749,Late
388,209,Late
389,490,Late
390,397,Late
391,773,Paid
392,705,Late
393,975,Paid
394,671,Late
395,458,Late
396,629,Paid
397,369,Late
398,239,Paid
399,976,Late
400,265,Late
401,329,Late
402,620,Late
403,828,Paid
404,241,Late
405,611,Late
406,150,Late
407,521,Paid
408,667,Paid
409,325,Late
410,706,Paid
411,664,Late
412,518,Paid
413,253,Late
414,605,Late
415,648,Paid
416,588,Paid
417,728,Late
418,236,Paid
419,874,Late
420,897,Paid
421,568,Paid
422,420,Late
423,480,Late
424,917,Late
425,113,Late
426,309,Paid
427,631,Late
428,314,Late
429,594,Paid
430,420,Late
431,463,Late
432,436,Late
433,840,Late
434,583,Paid
435,358,Late
436,754,Paid
437,136,Paid
438,711,Paid
439,917,Late
440,539,Late
441,724,Late
442,582,Paid
443,281,Late
444,955,Late
445,174,Late
446,768,Paid
447,220,Late
448,762,Late
449,557,Paid
450,202,Paid
451,239,Late
452,827,Paid
453,883,Late
454,179,Paid
455,744,Late
456,302,Paid
457,320,Late
458,540,Late
459,504,Late
460,131,Paid
461,555,Late
462,590,Late
463,569,Paid
464,555,Late
465,292,Late
466,471,Paid
467,406,Paid
468,334,Late
469,166,Late
470,127,Late
471,446,Late
472,423,Paid
473,527,Paid
474,496,Late
475,1000,Late
476,259,Paid
477,590,Paid
478,801,Late
479,452,Late
480,467,Paid
481,678,Late
482,878,Paid
483,444,Late
484,655,Paid
485,471,Late
486,932,Paid
487,677,Late
488,213,Paid
489,572,Late
490,704,Paid
491,955,Late
492,339,Late
493,743,Paid
494,820,Paid
495,947,Paid
496,149,Late
497,224,Paid
498,708,Paid
499,819,Paid
500,660,Paid
501,391,Late
502,148,Paid
503,722,Paid
504,710,Paid
505,197,Late
506,894,Paid
507,315,Paid
508,542,Late
509,382,Late
510,903,Late
511,213,Late
512,395,Late
513,998,Paid
514,312,Paid
515,295,Late
516,606,Late
517,723,Late
518,601,Paid
519,890,Paid
520,375,Paid
521,955,Late
522,921,Paid
523,135,Paid
524,428,Late
525,492,Paid
526,732,Paid
527,787,Paid
528,625,Late
529,903,Late
530,186,Paid
531,770,Late
532,682,Paid
533,743,Paid
534,712,Paid
535,802,Paid
536,978,Paid
537,927,Late
538,361,Paid
539,828,Late
540,662,Late
541,876,Paid
542,569,Paid
543,505,Paid
544,804,Paid
545,689,Paid
546,690,Late
547,848,Late
548,829,Late
549,665,Late
550,703,Late
551,190,Late
552,667,Paid
553,925,Paid
554,756,Late
555,343,Late
556,917,Late
557,575,Late
558,337,Late
559,807,Paid
560,228,Paid
561,601,Late
562,490,Paid
563,366,Late
564,955,Paid
565,718,Late
566,308,Late
567,688,Late
568,671,Late
569,692,Paid
570,480,Paid
571,477,Late
572,986,Late
573,236,Paid
574,732,Paid
575,212,Paid
576,423,Late
577,288,Late
578,344,Paid
579,375,Late
580,175,Paid
581,431,Paid
582,563,Paid
583,860,Late
584,375,Late
585,532,Late
586,544,Paid
587,381,Paid
588,757,Late
589,391,Paid
590,673,Paid
591,752,Late
592,152,Late
593,461,Late
594,499,Late
595,822,Paid
596,932,Paid
597,907,Late
598,213,Late
599,737,Paid
600,175,Paid
601,962,Paid
602,275,Late
603,347,Paid
604,255,Late
605,295,Late
606,844,Late
607,571,Paid
608,923,Late
609,650,Late
610,472,Late
611,426,Paid
612,297,Paid
613,389,Late
614,965,Late
615,990,Late
616,248,Paid
617,316,Late
618,104,Late
619,314,Late
620,651,Paid
621,148,Paid
622,877,Paid
623,980,Paid
624,155,Late
625,348,Late
626,269,Paid
627,153,Paid
628,753,Paid
629,651,Late
630,930,Paid
631,223,Paid
632,451,Late
633,181,Paid
634,702,Late
635,344,Paid
636,165,Paid
637,128,Paid
638,292,Late
639,197,Late
640,944,Paid
641,166,Paid
642,304,Paid
643,452,Paid
644,263,Late
645,468,Paid
646,575,Late
647,408,Late
648,630,Paid
649,135,Late
650,311,Paid
651,594,Late
652,472,Paid
653,533,Paid
654,998,Paid
655,723,Paid
656,308,Paid
657,639,Late
658,416,Late
659,121,Late
660,888,Late
661,300,Paid
662,830,Late
663,593,Late
664,172,Late
665,488,Paid
666,203,Late
667,640,Late
668,141,Late
669,397,Late
670,233,Late
671,308,Late
672,535,Paid
673,229,Late
674,555,Late
675,633,Paid
676,695,Late
677,872,Paid
678,610,Paid
679,626,Paid
680,439,Late
681,179,Paid
682,927,Paid
683,682,Paid
684,816,Late
685,509,Paid
686,273,Paid
687,209,Late
688,399,Paid
689,986,Paid
690,625,Paid
691,270,Late
692,322,Late
693,594,Late
694,407,Late
695,249,Paid
696,667,Late
697,154,Late
698,171,Paid
699,838,Late
700,811,Paid
701,965,Late
702,125,Late
703,491,Paid
704,981,Paid
705,238,Late
706,581,Paid
707,734,Paid
708,198,Paid
709,860,Paid
710,441,Late
711,101,Late
712,215,Late
713,102,Paid
714,581,Paid
715,686,Late
716,588,Late
717,204,Paid
718,845,Late
719,908,Paid
720,157,Paid
721,496,Paid
722,587,Paid
723,546,Late
724,822,Paid
725,651,Late
726,754,Paid
727,478,Late
728,589,Late
729,798,Paid
730,800,Late
731,217,Late
732,791,Paid
733,235,Paid
734,293,Paid
735,685,Late
736,891,Paid
737,650,Paid
738,907,Paid
739,680,Paid
740,317,Paid
741,512,Paid
742,661,Paid
743,555,Paid
744,892,Paid
745,827,Paid
746,535,Late
747,203,Late
748,394,Late
749,752,Late
750,382,Late
751,271,Late
752,229,Late
753,237,Late
754,322,Late
755,704,Late
756,478,Paid
757,244,Late
758,471,Late
759,158,Late
760,780,Late
761,291,Paid
762,953,Paid
763,110,Late
764,903,Late
765,106,Paid
766,971,Late
767,196,Late
768,126,Late
769,422,Late
770,957,Paid
771,496,Late
772,899,Paid
773,541,Late
774,934,Paid
775,620,Paid
776,207,Late
777,829,Paid
778,788,Late
779,182,Late
780,289,Paid
781,711,Late
782,406,Paid
783,324,Paid
784,627,Paid
785,695,Paid
786,992,Late
787,960,Paid
788,429,Paid
789,491,Paid
790,711,Paid
791,776,Late
792,552,Paid
793,699,Paid
794,759,Late
795,269,Paid
796,101,Late
797,659,Late
798,620,Late
799,317,Paid
800,838,Late
801,834,Late
802,965,Late
803,194,Paid
804,885,Paid
805,145,Paid
806,556,Paid
807,105,Late
808,329,Late
809,774,Late
810,196,Paid
811,906,Paid
812,157,Late
813,476,Paid
814,793,Late
815,411,Late
816,152,Paid
817,714,Paid
818,304,Paid
819,116,Paid
820,893,Late
821,662,Late
822,536,Paid
823,484,Paid
824,215,Late
825,509,Late
826,284,Late
827,544,Paid
828,444,Late
829,198,Late
830,986,Paid
831,623,Paid
832,121,Late
833,653,Late
834,396,Late
835,900,Paid
836,180,Late
837,854,Paid
838,694,Late
839,851,Late
840,886,Late
841,348,Paid
842,300,Paid
843,619,Late
844,851,Paid
845,626,Paid
846,668,Late
847,179,Paid
848,605,Paid
849,452,Paid
850,521,Late
851,719,Late
852,401,Paid
853,180,Late
854,588,Paid
855,778,Late
856,611,Paid
857,235,Paid
858,882,Paid
859,214,Paid
860,517,Late
861,614,Late
862,999,Late
863,856,Paid
864,546,Late
865,977,Paid
866,324,Paid
867,906,Late
868,665,Paid
869,151,Late
870,814,Late
871,156,Late
872,457,Late
873,883,Late
874,581,Paid
875,859,Late
876,202,Paid
877,283,Paid
878,453,Paid
879,701,Paid
880,225,Paid
881,321,Paid
882,396,Paid
883,662,Late
884,327,Paid
885,360,Late
886,145,Paid
887,960,Paid
888,490,Late
889,555,Paid
890,686,Paid
891,758,Late
892,441,Paid
893,348,Paid
894,261,Late
895,592,Late
896,576,Paid
897,719,Paid
898,678,Paid
899,733,Late
900,829,Paid
901,912,Paid
902,848,Late
903,600,Paid
904,208,Late
905,507,Paid
906,113,Paid
907,951,Late
908,169,Paid
909,422,Paid
910,605,Paid
911,361,Late
912,732,Paid
913,900,Paid
914,243,Paid
915,903,Paid
916,947,Paid
917,701,Late
918,133,Late
919,911,Paid
920,633,Paid
921,511,Paid
922,878,Late
923,715,Late
924,748,Paid
925,201,Late
926,558,Late
927,951,Late
928,357,Late
929,261,Paid
930,461,Paid
931,957,Paid
932,184,Late
933,839,Paid
934,361,Paid
935,121,Late
936,881,Late
937,436,Paid
938,666,Late
939,386,Late
940,336,Late
941,273,Paid
942,612,Paid
943,520,Paid
944,700,Late
945,535,Late
946,915,Late
947,579,Late
948,923,Paid
949,287,Paid
950,786,Late
951,785,Paid
952,595,Paid
953,217,Late
954,488,Late
955,800,Paid
956,366,Paid
957,801,Late
958,113,Paid
959,879,Late
960,304,Paid
961,497,Late
962,481,Paid
963,788,Late
964,566,Late
965,108,Late
966,529,Paid
967,643,Late
968,974,Paid
969,736,Paid
970,731,Late
971,551,Late
972,144,Paid
973,812,Late
974,854,Paid
975,676,Late
976,803,Late
977,405,Paid
978,405,Late
979,994,Late
980,211,Late
981,125,Late
982,377,Late
983,258,Paid
984,740,Paid
985,283,Paid
986,572,Late
987,391,Paid
988,794,Paid
989,882,Late
990,616,Late
991,373,Late
992,281,Late
993,392,Late
994,987,Paid
995,542,Paid
996,225,Late
997,307,Late
998,764,Late
999,685,Late
1000,450,Late
1001,572,Late
1002,181,Paid
1003,363,Paid
1004,497,Paid
1005,182,Paid
1006,414,Paid
1007,773,Late
1008,265,Paid
1009,919,Paid
1010,238,Paid
1011,711,Late
1012,120,Late
1013,434,Late
1014,811,Paid
1015,687,Paid
1016,735,Late
1017,316,Paid
1018,377,Paid
1019,107,Paid
1020,791,Late
1021,527,Late
1022,976,Late
1023,870,Paid
1024,286,Paid
1025,404,Late
1026,466,Late
1027,360,Late
1028,447,Paid
1029,958,Paid
1030,291,Paid
1031,549,Late
1032,211,Late
1033,491,Paid
1034,409,Paid
1035,535,Paid
1036,599,Late
1037,702,Paid
1038,937,Paid
1039,867,Late
1040,684,Paid
1041,746,Late
1042,867,Paid
1043,564,Paid
1044,256,Late
1045,531,Late
1046,398,Paid
1047,168,Late
1048,609,Paid
1049,761,Late
1050,759,Late
1051,203,Paid
1052,748,Paid
1053,753,Paid
1054,388,Paid
1055,636,Paid
1056,479,Paid
1057,213,Late
1058,577,Late
1059,100,Late
1060,235,Paid
1061,200,Paid
1062,969,Paid
1063,368,Paid
1064,370,Paid
1065,356,Paid
1066,274,Paid
1067,291,Late
1068,416,Paid
1069,414,Paid
1070,183,Late
1071,190,Late
1072,853,Paid
1073,655,Late
1074,398,Late
1075,661,Paid
1076,535,Paid
1077,419,Late
1078,673,Paid
1079,483,Paid
1080,347,Paid
1081,617,Late
1082,302,Paid
1083,512,Paid
1084,985,Paid
1085,781,Paid
1086,890,Late
1087,116,Paid
1088,331,Late
1089,814,Late
1090,303,Paid
1091,681,Paid
1092,833,Late
1093,361,Paid
1094,544,Paid
1095,556,Late
1096,861,Late
1097,734,Paid
1098,519,Late
1099,952,Paid
1100,292,Paid
1101,983,Paid
1102,140,Paid
1103,685,Paid
1104,506,Paid
1105,165,Paid
1106,665,Paid
1107,253,Paid
1108,483,Late
1109,705,Paid
1110,195,Late
1111,131,Late
1112,449,Late
1113,347,Paid
1114,954,Paid
1115,841,Late
1116,148,Late
1117,547,Late
1118,577,Paid
1119,308,Late
1120,203,Paid
1121,530,Paid
1122,161,Paid
1123,827,Paid
1124,952,Paid
1125,634,Paid
1126,540,Late
1127,231,Late
1128,722,Late
1129,190,Late
1130,971,Late
1131,436,Paid
1132,910,Paid
1133,305,Late
1134,524,Paid
1135,529,Late
1136,958,Late
1137,104,Late
1138,590,Late
1139,588,Late
1140,889,Paid
1141,965,Paid
1142,387,Late
1143,974,Paid
1144,808,Paid
1145,248,Late
1146,877,Late
1147,676,Paid
1148,477,Late
1149,434,Paid
1150,921,Late
1151,987,Late
1152,251,Late
1153,732,Paid
1154,188,Late
1155,509,Late
1156,931,Paid
1157,370,Paid
1158,683,Late
1159,573,Late
1160,343,Paid
1161,299,Late
1162,729,Paid
1163,798,Paid
1164,478,Late
1165,925,Late
1166,896,Late
1167,421,Paid
1168,201,Paid
1169,846,Paid
1170,448,Late
1171,325,Late
1172,314,Late
1173,299,Paid
1174,815,Paid
1175,364,Paid
1176,896,Late
1177,375,Late
1178,445,Late
1179,774,Late
1180,525,Late
1181,950,Late
1182,436,Paid
1183,820,Late
1184,199,Late
1185,875,Paid
1186,331,Paid
1187,667,Late
1188,989,Late
1189,881,Paid
1190,717,Late
1191,362,Late
1192,260,Late
1193,487,Paid
1194,803,Paid
1195,765,Paid
1196,597,Late
1197,732,Late
1198,318,Late
1199,689,Paid
1200,405,Paid
1201,234,Late
1202,322,Late
1203,874,Paid
1204,479,Paid
1205,333,Paid
1206,158,Late
1207,542,Late
1208,259,Late
1209,125,Late
1210,665,Late
1211,323,Late
1212,917,Paid
1213,525,Late
1214,500,Paid
1215,220,Late
1216,170,Paid
1217,999,Paid
1218,283,Late
1219,856,Paid
1220,655,Late
1221,890,Paid
1222,528,Paid
1223,906,Paid
1224,229,Late
1225,487,Paid
1226,662,Late
1227,773,Late
1228,141,Late
1229,504,Paid
1230,378,Late
1231,838,Late
1232,572,Late
1233,440,Late
1234,989,Paid
1235,234,Paid
1236,756,Late
1237,934,Paid
1238,426,Late
1239,573,Paid
1240,606,Late
1241,866,Paid
1242,927,Late
1243,201,Paid
1244,144,Late
1245,425,Late
1246,428,Paid
1247,323,Paid
1248,461,Paid
1249,424,Late
1250,233,Paid
1251,729,Late
1252,498,Paid
1253,285,Paid
1254,879,Paid
1255,911,Paid
1256,439,Late
1257,647,Late
1258,508,Paid
1259,313,Late
1260,971,Late
1261,975,Late
1262,896,Paid
1263,363,Late
1264,192,Late
1265,965,Paid
1266,785,Paid
1267,339,Late
1268,928,Paid
1269,620,Paid
1270,683,Late
1271,496,Paid
1272,467,Paid
1273,123,Paid
1274,867,Paid
1275,219,Late
1276,385,Late
1277,542,Paid
1278,181,Paid
1279,521,Late
1280,528,Late
1281,410,Late
1282,394,Paid
1283,918,Late
1284,472,Late
1285,935,Late
1286,169,Late
1287,744,Late
1288,893,Paid
1289,280,Paid
1290,150,Paid
1291,644,Paid
1292,470,Paid
1293,922,Late
1294,921,Late
1295,826,Late
1296,314,Paid
1297,882,Late
1298,838,Paid
1299,875,Late
1300,690,Paid
1301,396,Paid
1302,519,Late
1303,420,Paid
1304,242,Paid
1305,306,Paid
1306,131,Paid
1307,872,Paid
1308,275,Paid
1309,713,Paid
1310,998,Paid
1311,618,Paid
1312,703,Late
1313,660,Late
1314,956,Late
1315,317,Late
1316,836,Paid
1317,225,Paid
1318,517,Late
1319,250,Late
1320,650,Late
1321,314,Late
1322,976,Late
1323,390,Late
1324,831,Late
1325,901,Paid
1326,797,Paid
1327,296,Paid
1328,925,Late
1329,877,Late
1330,182,Paid
1331,531,Paid
1332,366,Paid
1333,140,Late
1334,442,Late
1335,539,Paid
1336,927,Paid
1337,325,Late
1338,621,Paid
1339,830,Late
1340,270,Late
1341,528,Late
1342,129,Late
1343,605,Late
1344,357,Paid
1345,458,Late
1346,579,Late
1347,922,Paid
1348,647,Paid
1349,335,Paid
1350,842,Late
1351,141,Paid
1352,681,Paid
1353,994,Paid
1354,177,Late
1355,773,Paid
1356,900,Paid
1357,948,Paid
1358,502,Late
1359,932,Paid
1360,345,Paid
1361,590,Paid
1362,271,Paid
1363,973,Paid
1364,392,Paid
1365,384,Paid
1366,948,Late
1367,601,Late
1368,1000,Late
1369,493,Paid
1370,930,Late
1371,140,Paid
1372,787,Late
1373,463,Late
1374,216,Late
1375,938,Late
1376,853,Late
1377,249,Paid
1378,445,Late
1379,313,Paid
1380,449,Late
1381,146,Paid
1382,858,Paid
1383,491,Late
1384,449,Late
1385,218,Paid
1386,393,Paid
1387,442,Late
1388,981,Late
1389,364,Late
1390,805,Late
1391,154,Paid
1392,628,Paid
1393,224,Paid
1394,227,Late
1395,332,Paid
1396,901,Late
1397,801,Late
1398,436,Late
1399,267,Late
1400,794,Late
1401,538,Paid
1402,928,Paid
1403,728,Paid
1404,953,Late
1405,197,Paid
1406,155,Late
1407,629,Late
1408,174,Late
1409,405,Late
1410,532,Late
1411,782,Late
1412,823,Paid
1413,544,Paid
1414,619,Late
1415,334,Late
1416,739,Late
1417,778,Late
1418,355,Paid
1419,364,Late
1420,260,Paid
1421,269,Late
1422,542,Paid
1423,501,Paid
1424,570,Late
1425,691,Late
1426,243,Paid
1427,862,Paid
1428,213,Paid
1429,792,Paid
1430,824,Paid
1431,911,Paid
1432,481,Late
1433,290,Paid
1434,306,Late
1435,653,Paid
1436,491,Paid
1437,388,Paid
1438,588,Late
1439,581,Paid
1440,364,Late
1441,249,Paid
1442,380,Late
1443,351,Late
1444,789,Paid
1445,967,Late
1446,451,Late
1447,457,Late
1448,563,Late
1449,833,Late
1450,396,Paid
1451,377,Late
1452,659,Late
1453,934,Late
1454,935,Paid
1455,955,Late
1456,313,Paid
1457,853,Late
1458,346,Late
1459,215,Late
1460,814,Paid
1461,386,Paid
1462,263,Late
1463,257,Paid
1464,807,Paid
1465,218,Paid
1466,626,Late
1467,969,Late
1468,221,Late
1469,359,Paid
1470,612,Late
1471,267,Paid
1472,776,Paid
1473,297,Paid
1474,753,Paid
1475,501,Late
1476,600,Paid
1477,174,Paid
1478,658,Paid
1479,317,Paid
1480,389,Paid
1481,261,Paid
1482,958,Paid
1483,888,Paid
1484,598,Paid
1485,877,Late
1486,895,Late
1487,482,Paid
1488,461,Paid
1489,369,Paid
1490,521,Late
1491,739,Late
1492,939,Late
1493,210,Late
1494,176,Late
1495,817,Paid
1496,871,Paid
1497,270,Paid
1498,719,Paid
1499,737,Paid
1500,719,Late
1501,541,Late
1502,390,Paid
1503,307,Paid
1504,481,Paid
1505,922,Late
1506,566,Late
1507,241,Paid
1508,313,Paid
1509,670,Late
1510,986,Late
1511,165,Paid
1512,228,Paid
1513,443,Paid
1514,705,Late
1515,407,Paid
1516,807,Late
1517,383,Paid
1518,475,Late
1519,578,Late
1520,346,Late
1521,527,Paid
1522,590,Late
1523,914,Late
1524,432,Late
1525,958,Late
1526,982,Late
1527,747,Paid
1528,792,Late
1529,752,Paid
1530,600,Late
1531,727,Late
1532,578,Late
1533,355,Paid
1534,634,Late
1535,883,Paid
1536,844,Paid
1537,970,Paid
1538,463,Paid
1539,617,Late
1540,196,Late
1541,804,Late
1542,626,Paid
1543,422,Late
1544,200,Paid
1545,223,Late
1546,234,Paid
1547,346,Paid
1548,479,Paid
1549,758,Paid
1550,949,Paid
1551,176,Paid
1552,699,Late
1553,419,Paid
1554,437,Late
1555,460,Late
1556,704,Late
1557,903,Late
1558,354,Paid
1559,938,Late
1560,678,Late
1561,670,Late
1562,730,Late
1563,528,Late
1564,154,Paid
1565,940,Late
1566,147,Late
1567,647,Late
1568,200,Paid
1569,603,Late
1570,109,Late
1571,623,Late
1572,698,Paid
1573,324,Late
1574,684,Paid
1575,255,Paid
1576,423,Late
1577,670,Paid
1578,380,Late
1579,225,Late
1580,511,Paid
1581,931,Late
1582,567,Paid
1583,290,Paid
1584,506,Late
1585,448,Paid
1586,939,Late
1587,239,Late
1588,774,Paid
1589,316,Paid
1590,861,Paid
1591,410,Paid
1592,783,Late
1593,391,Late
1594,891,Paid
1595,949,Paid
1596,472,Late
1597,940,Late
1598,287,Paid
1599,644,Late
1600,444,Paid
1601,348,Paid
1602,866,Paid
1603,318,Paid
1604,965,Late
1605,678,Late
1606,951,Paid
1607,865,Paid
1608,103,Late
1609,827,Late
1610,537,Paid
1611,458,Paid
1612,751,Paid
1613,903,Paid
1614,201,Late
1615,241,Late
1616,327,Late
1617,579,Paid
1618,522,Late
1619,974,Late
1620,499,Paid
1621,648,Paid
1622,252,Late
1623,934,Late
1624,117,Paid
1625,497,Late
1626,762,Paid
1627,643,Late
1628,371,Late
1629,275,Paid
1630,409,Paid
1631,806,Late
1632,461,Late
1633,790,Late
1634,385,Paid
1635,303,Late
1636,348,Late
1637,490,Paid
1638,250,Paid
1639,494,Late
1640,781,Paid
1641,360,Late
1642,575,Late
1643,507,Paid
1644,156,Late
1645,271,Paid
1646,385,Paid
1647,810,Paid
1648,346,Late
1649,169,Late
1650,664,Paid
1651,973,Paid
1652,360,Late
1653,512,Late
1654,482,Late
1655,748,Paid
1656,436,Paid
1657,774,Late
1658,705,Late
1659,741,Late
1660,876,Late
1661,238,Late
1662,492,Late
1663,867,Late
1664,729,Paid
1665,196,Paid
1666,407,Paid
1667,490,Paid
1668,333,Late
1669,293,Late
1670,120,Paid
1671,452,Paid
1672,801,Late
1673,402,Late
1674,184,Paid
1675,516,Late
1676,293,Late
1677,596,Late
1678,353,Late
1679,937,Late
1680,458,Paid
1681,637,Late
1682,770,Paid
1683,426,Paid
1684,757,Late
1685,648,Late
1686,989,Late
1687,106,Paid
1688,118,Paid
1689,643,Late
1690,867,Late
1691,170,Late
1692,981,Paid
1693,587,Late
1694,197,Late
1695,432,Paid
1696,664,Late
1697,984,Paid
1698,838,Late
1699,885,Paid
1700,925,Paid
1701,874,Paid
1702,966,Late
1703,442,Late
1704,420,Late
1705,908,Late
1706,280,Paid
1707,208,Paid
1708,136,Late
1709,230,Paid
1710,725,Paid
1711,177,Paid
1712,892,Late
1713,551,Late
1714,547,Late
1715,671,Late
1716,946,Paid
1717,198,Paid
1718,881,Late
1719,140,Late
1720,457,Paid
1721,998,Paid
1722,545,Late
1723,290,Late
1724,644,Late
1725,765,Paid
1726,1000,Paid
1727,167,Late
1728,257,Paid
1729,583,Late
1730,255,Paid
1731,520,Late
1732,365,Late
1733,699,Paid
1734,328,Late
1735,655,Paid
1736,807,Late
1737,599,Late
1738,268,Paid
1739,638,Paid
1740,716,Late
1741,804,Late
1742,675,Paid
1743,159,Late
1744,512,Late
1745,964,Late
1746,138,Paid
1747,980,Late
1748,412,Paid
1749,740,Late
1750,339,Paid
1751,389,Late
1752,895,Late
1753,524,Paid
1754,502,Late
1755,242,Late
1756,340,Paid
1757,729,Late
1758,392,Paid
1759,682,Late
1760,205,Paid
